clip	duration[ms]
common_voice_az_40679534.mp3	3780
common_voice_az_45233616.mp3	7848
common_voice_az_35250021.mp3	4860
common_voice_az_35250093.mp3	8100
common_voice_az_45233609.mp3	8208
common_voice_az_40734778.mp3	4248
common_voice_az_37772752.mp3	7020
common_voice_az_37772755.mp3	5220
common_voice_az_40679476.mp3	5976
common_voice_az_27646600.mp3	4608
common_voice_az_45233779.mp3	5976
common_voice_az_40734780.mp3	4068
common_voice_az_40474180.mp3	4788
common_voice_az_42621087.mp3	7056
common_voice_az_40668440.mp3	8028
common_voice_az_42550087.mp3	5796
common_voice_az_40699384.mp3	6336
common_voice_az_40734754.mp3	5688
common_voice_az_40699335.mp3	4320
common_voice_az_40737760.mp3	5544
common_voice_az_35249821.mp3	3600
common_voice_az_40699285.mp3	7668
common_voice_az_43543032.mp3	8496
common_voice_az_40811199.mp3	7992
common_voice_az_40734811.mp3	3780
common_voice_az_36729411.mp3	4608
common_voice_az_40679462.mp3	4176
common_voice_az_40811227.mp3	3276
common_voice_az_43284834.mp3	2556
common_voice_az_40699366.mp3	3636
common_voice_az_42621111.mp3	4932
common_voice_az_35250061.mp3	4356
common_voice_az_40819116.mp3	4392
common_voice_az_40799141.mp3	6588
common_voice_az_43457560.mp3	3528
common_voice_az_28316594.mp3	5220
common_voice_az_36729429.mp3	4860
common_voice_az_45233613.mp3	6228
common_voice_az_40798967.mp3	4572
common_voice_az_36559443.mp3	3852
common_voice_az_26658847.mp3	8388
common_voice_az_40474230.mp3	7920
common_voice_az_40699348.mp3	4500
common_voice_az_36729359.mp3	3600
common_voice_az_35250047.mp3	5040
common_voice_az_40734781.mp3	3708
common_voice_az_35249928.mp3	6768
common_voice_az_30416719.mp3	4680
common_voice_az_27646612.mp3	4176
common_voice_az_36410951.mp3	3708
common_voice_az_40734896.mp3	11196
common_voice_az_40699303.mp3	6120
common_voice_az_40819117.mp3	2844
common_voice_az_45233612.mp3	4536
common_voice_az_40811231.mp3	6408
common_voice_az_27367112.mp3	4716
common_voice_az_35250097.mp3	6336
common_voice_az_29101439.mp3	7056
common_voice_az_40737698.mp3	11304
common_voice_az_26658842.mp3	9108
common_voice_az_41030974.mp3	7740
common_voice_az_42621078.mp3	2988
common_voice_az_40734736.mp3	5508
common_voice_az_36729394.mp3	3528
common_voice_az_42621105.mp3	5544
common_voice_az_40735379.mp3	5400
common_voice_az_40799074.mp3	7668
common_voice_az_40862199.mp3	4248
common_voice_az_43516618.mp3	7128
common_voice_az_40799008.mp3	6372
common_voice_az_40734900.mp3	7200
common_voice_az_42621095.mp3	4572
common_voice_az_42621073.mp3	5724
common_voice_az_40679348.mp3	4860
common_voice_az_26658647.mp3	6516
common_voice_az_45233615.mp3	7668
common_voice_az_36729361.mp3	4536
common_voice_az_40679495.mp3	3168
common_voice_az_40819133.mp3	4248
common_voice_az_43516614.mp3	5580
common_voice_az_40679292.mp3	5688
common_voice_az_40474245.mp3	5976
common_voice_az_42621086.mp3	3240
common_voice_az_40862171.mp3	3456
common_voice_az_38555106.mp3	5328
common_voice_az_40819122.mp3	3420
common_voice_az_40811200.mp3	5868
common_voice_az_45215049.mp3	7236
common_voice_az_26658850.mp3	3780
common_voice_az_40667939.mp3	4788
common_voice_az_29987070.mp3	9756
common_voice_az_40811184.mp3	3888
common_voice_az_45233791.mp3	6300
common_voice_az_38555101.mp3	6516
common_voice_az_40799038.mp3	8460
common_voice_az_40668268.mp3	8820
common_voice_az_41030972.mp3	7596
common_voice_az_40734733.mp3	6048
common_voice_az_37445600.mp3	4320
common_voice_az_27367114.mp3	8100
common_voice_az_35249785.mp3	7236
common_voice_az_40811210.mp3	5904
common_voice_az_43516603.mp3	7236
common_voice_az_40819134.mp3	7992
common_voice_az_42621068.mp3	4968
common_voice_az_27646513.mp3	4212
common_voice_az_26658775.mp3	10008
common_voice_az_40679350.mp3	7488
common_voice_az_40811193.mp3	4680
common_voice_az_42621067.mp3	9612
common_voice_az_40819128.mp3	5004
common_voice_az_40474200.mp3	3096
