reference,hypothesis,audio_path,wer,cer
Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır., Eşk şəirlərindən ələvə din vətə sə vüf ilə bağlı şeirləri dəvardır.,data/clips/common_voice_az_30644804.mp3,0.7272727272727273,0.10294117647058823
Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur., Orta məktəvdi bitirdikdən sonra Ukrayna nəni Libov şəhəri hərdi xidmətdə olmuştur.,data/clips/common_voice_az_34229675.mp3,0.7,0.14814814814814814
Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir., Hal hazırda xəzər kanalında producer olaraq işinə davam edir.,data/clips/common_voice_az_43516603.mp3,0.2222222222222222,0.04918032786885246
Təpə Antarktidada yerləşən Start burnunun adını daşıyır.," Təbə, Antarktida da yerləşən start qurlununun adını daşır.",data/clips/common_voice_az_42550087.mp3,0.8571428571428571,0.16071428571428573
Lənkəran şəhərində dəfn olunub., Lənkəran şəhəri də dəfnəm.,data/clips/common_voice_az_32296128.mp3,0.75,0.25806451612903225
Onların qalıqlarına Çin və Özbəkistan ərazilərində aşkarlanmışdır., O mulağın qalqılarına Çinləyik özbəkistan əvəzi bələmələş gələkmiştir.,data/clips/common_voice_az_43107780.mp3,1.1428571428571428,0.45454545454545453
Ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur., Etraftakir ərazilə müqayisətə dumanlı və qarq rəqdəyə olan günlərin sayır əha çoxdur.,data/clips/common_voice_az_41030974.mp3,0.5833333333333334,0.21176470588235294
Yeni Azərbaycan Partiyasının fəal üzvüdür., Yeni Azərbaycan Partisi nə fəal özür dür.,data/clips/common_voice_az_41232414.mp3,0.8,0.23809523809523808
Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var.," Kətində Alban tarəfini isləri, hər isə təhvi çox yələri başı.",data/clips/common_voice_az_28841680.mp3,0.9,0.47540983606557374
Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı.," Kəldin yerində, muhasır qəsəbənin inşaasi plənləşdirəlirdi.",data/clips/common_voice_az_28841731.mp3,0.8333333333333334,0.23214285714285715
Sakinlər tarixi abidələrə çox həssaslıqla yanaşırlar., Takinlər tarixə abidələrə çox hassasıqə yanaşılır.,data/clips/common_voice_az_42351935.mp3,0.6666666666666666,0.1509433962264151
Rusiyaya qayıtdıqdan sonra teatr və kino sahəsində çalışmışdır., Vısyə qaytlıktan sonra teatr və kemu sarımsına çalışmışdır.,data/clips/common_voice_az_42351936.mp3,0.5,0.30158730158730157
Papanın xahişini qəbul edən Attila geri döndü., Babanın həşdiyn qəbul edən atılla geri döndü.,data/clips/common_voice_az_37445600.mp3,0.42857142857142855,0.2391304347826087
İdman həyatı başa çatdıqdan sonra Torpe ailəsini saxlamaq üçün çalışmışdır., İdman həyata para çatlıqdan sonra torbə aləsni səxvama mühür üçün çalışmışdır.,data/clips/common_voice_az_37445601.mp3,0.7,0.22666666666666666
Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər.," Jurnalistər, hikayələrinin ələncəri hala gəlməsinin səbəb olaməkəyəm bir məsələdə faktor atab bilərlər.",data/clips/common_voice_az_30651706.mp3,0.6153846153846154,0.1523809523809524
