reference,hypothesis,audio_path
Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır., Eşk şəirlərindən ələvə din vətə sə vüf ilə bağlı şeirləri dəvardır.,data/clips/common_voice_az_30644804.mp3
Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur., Orta məktəvdi bitirdikdən sonra Ukrayna nəni Libov şəhəri hərdi xidmətdə olmuştur.,data/clips/common_voice_az_34229675.mp3
Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir., Hal hazırda xəzər kanalında producer olaraq işinə davam edir.,data/clips/common_voice_az_43516603.mp3
Təpə Antarktidada yerləşən Start burnunun adını daşıyır.," Təbə, Antarktida da yerləşən start qurlununun adını daşır.",data/clips/common_voice_az_42550087.mp3
Lənkəran şəhərində dəfn olunub., Lənkəran şəhəri də dəfnəm.,data/clips/common_voice_az_32296128.mp3
Onların qalıqlarına Çin və Özbəkistan ərazilərində aşkarlanmışdır., O mulağın qalqılarına Çinləyik özbəkistan əvəzi bələmələş gələkmiştir.,data/clips/common_voice_az_43107780.mp3
Ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur., Etraftakir ərazilə müqayisətə dumanlı və qarq rəqdəyə olan günlərin sayır əha çoxdur.,data/clips/common_voice_az_41030974.mp3
Yeni Azərbaycan Partiyasının fəal üzvüdür., Yeni Azərbaycan Partisi nə fəal özür dür.,data/clips/common_voice_az_41232414.mp3
Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var.," Kətində Alban tarəfini isləri, hər isə təhvi çox yələri başı.",data/clips/common_voice_az_28841680.mp3
Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı.," Kəldin yerində, muhasır qəsəbənin inşaasi plənləşdirəlirdi.",data/clips/common_voice_az_28841731.mp3
Sakinlər tarixi abidələrə çox həssaslıqla yanaşırlar., Takinlər tarixə abidələrə çox hassasıqə yanaşılır.,data/clips/common_voice_az_42351935.mp3
Rusiyaya qayıtdıqdan sonra teatr və kino sahəsində çalışmışdır., Vısyə qaytlıktan sonra teatr və kemu sarımsına çalışmışdır.,data/clips/common_voice_az_42351936.mp3
Papanın xahişini qəbul edən Attila geri döndü., Babanın həşdiyn qəbul edən atılla geri döndü.,data/clips/common_voice_az_37445600.mp3
İdman həyatı başa çatdıqdan sonra Torpe ailəsini saxlamaq üçün çalışmışdır., İdman həyata para çatlıqdan sonra torbə aləsni səxvama mühür üçün çalışmışdır.,data/clips/common_voice_az_37445601.mp3
Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər.," Jurnalistər, hikayələrinin ələncəri hala gəlməsinin səbəb olaməkəyəm bir məsələdə faktor atab bilərlər.",data/clips/common_voice_az_30651706.mp3
Onu Ran Min adlı qardaşlığı öldürmüşdü., Onur ağam min adı qardaşlığı öldürmüştü.,data/clips/common_voice_az_30651707.mp3
Yarada iki əsas dəyişiklik baş verir.," Yara da, 2 səs dəyişiklik baş verir.",data/clips/common_voice_az_26658645.mp3
Komsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralıda yerləşir., Qab-Sumul gülü yaxan qalandı yəldəşən mərkəzdən tifayət gədər art oldu yəldəşir.,data/clips/common_voice_az_26658646.mp3
Film iki seriyadan ibarətdir., Filmi 2 seriyadan ibarətdir.,data/clips/common_voice_az_36638179.mp3
Bunun səbəbləri müxtəlifdir., Bunun səbəqlərimi xudəlifdir.,data/clips/common_voice_az_36638181.mp3
Bəyazid taxta keçdikdən sonra İshaq Paşanı yenidən sədrəzəm seçdi., Bəyazid taxta çəstikdən sonra hisslak paşanı yenidən södrəzəm sətisti.,data/clips/common_voice_az_38555101.mp3
Salar təxəllüsü ilə ruh aləminə uyğun şeirlər yazırdı., Salartə xəllüsü ilə ruhu aləminə əqun şiirlər yazırdı.,data/clips/common_voice_az_38555102.mp3
Cavabında kazaklar narazı şəxsləri quyuya ataraq öldürdülər., Zəvabında qazəqlar narazı şəhsləri qıyı ataraq öldürdülər.,data/clips/common_voice_az_38555103.mp3
Netflix nədir?, Netflix Nədər,data/clips/common_voice_az_38555104.mp3
Müsabiqədən sonra onu artıq hamı tanımağa başlayır., Nüsabibədən sonra onu artı xamrı tanımaca başlayır.,data/clips/common_voice_az_38206777.mp3
İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər., İnsanlar və həyvanların biskülərlə zəhərlənməsi muxtalif zəhəblərdən baş verə bilər.,data/clips/common_voice_az_38206778.mp3
Həmin il Yaponiya Misirin müstəqilliyini tanımışdır., Həmin il Yaponiya Misirin müstəqiliyini tanımışdır.,data/clips/common_voice_az_38206779.mp3
Beş uşaq atası idi., Pəşh uşa qatasə idi.,data/clips/common_voice_az_38206780.mp3
Film Türkiyə yazıçısı Nazim Hikmətin eyniadlı əsərinin motivləri əsasında yaradılmışdır., Film Türkiyə yazısı Səni Nazım Hikmətin yenilə adlı əsərinin motivləri əsasında yadılmışdır.,data/clips/common_voice_az_27426027.mp3
Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.," Yoxarı aharlarda batıqlaşmış, ərazdən ahır və suyu dəyəz olur.",data/clips/common_voice_az_27426028.mp3
Ölkə ərazisindən axan Niger çayının adı ilə adlanır., ölçəri halisində Aqqan-i Nijertayinin adilə adlanır.,data/clips/common_voice_az_27426029.mp3
Elə orta məktəbi də həmin kənddə bitirib., Elə orta məşdəbi də həmin çəktə bitirib.,data/clips/common_voice_az_27426031.mp3
Daha sonra həmin məktəbin direktoru olur., Daha sonra həmin məcdəbin direktoru olur.,data/clips/common_voice_az_40603073.mp3
Atası qızına mükəmməl təhsil vermək arzusunda idi.," Atası, kızına mükəmmil təhsil vermək arzusundaydı.",data/clips/common_voice_az_40603074.mp3
Turizm qoruq ətrafındakı bütün ərazilərin inkişafının əsas sahəsidir.," Turizm koruq ətirafında üçü bütün ərazilər, inkişafının əsas sahəsidir.",data/clips/common_voice_az_40603076.mp3
Hər yeddi ildən bir keçirilir., Hər yetti elədən bir çesirilir.,data/clips/common_voice_az_40603077.mp3
Qrup artıq fəaliyyətini dayandırmışdır., Grup artıq fəyəliyyətini də ayandırmışdır.,data/clips/common_voice_az_30416717.mp3
İyunun əvvəlində çiçəkləyir.," Yəni, nəvvəlində çiçəkləyiz.",data/clips/common_voice_az_30416718.mp3
Bundan sonra isə körpü bərpa edilməmişdir., Bundan sonrı isə çöripü bərpə edilməmişdir.,data/clips/common_voice_az_30416719.mp3
Dinozavrlar arasında ən uzun boyuna malik imiş., Din azabırda arasında ən uzun boyuna malikmiş.,data/clips/common_voice_az_30416720.mp3
Qurultayda Azərbaycanın bütün bölgələrini və tədris müəssisələrini təmsil edən nümayəndələr iştirak edirdilər., Qurul Tayda Azərbaycanın bütün böcülərini və tədris məhsələrinin təmzələ nümaynları iştirə çedirdilər.,data/clips/common_voice_az_30416721.mp3
